City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Tecoanapa,MX,2022-02-13 22:07:35,16.5167,-98.75,84.69,54,68,10.74,broken clouds
60,Kapaa,US,2022-02-13 22:07:35,22.0752,-159.319,79.12,63,75,13.8,broken clouds
61,Luderitz,NA,2022-02-13 22:07:36,-26.6481,15.1594,72.81,65,0,10.83,clear sky
62,Lukovit,BG,2022-02-13 22:07:36,43.2,24.1667,38.26,68,100,1.32,overcast clouds
63,Punta Arenas,CL,2022-02-13 22:07:36,-53.15,-70.9167,48.31,46,20,34.52,few clouds
64,Pospelikha,RU,2022-02-13 22:07:37,51.95,81.7667,22.26,92,100,19.93,light snow
65,Qaanaaq,GL,2022-02-13 22:07:37,77.484,-69.3632,-6.95,83,99,4.52,overcast clouds
66,Rodeo,US,2022-02-13 22:07:37,38.033,-122.2669,80.44,47,0,9.22,clear sky
67,Fevik,NO,2022-02-13 22:07:38,58.3794,8.6766,40.77,91,100,16.8,overcast clouds
68,Airai,TL,2022-02-13 22:07:38,-8.9266,125.4092,58.37,90,37,2.3,scattered clouds
69,Takoradi,GH,2022-02-13 22:07:39,4.8845,-1.7554,78.71,87,61,7.0,light rain
70,Nome,US,2022-02-13 22:07:39,64.5011,-165.4064,-8.84,64,0,6.91,clear sky
71,Ekibastuz,KZ,2022-02-13 22:07:40,51.6667,75.3667,2.79,98,72,2.82,broken clouds
72,Cidreira,BR,2022-02-13 22:07:41,-30.1811,-50.2056,69.21,93,100,1.88,overcast clouds
73,Tahe,CN,2022-02-13 22:07:41,52.3333,124.7333,-3.41,99,100,2.84,overcast clouds
74,Yar-Sale,RU,2022-02-13 22:07:41,66.8333,70.8333,-16.06,97,100,8.57,overcast clouds
75,Egvekinot,RU,2022-02-13 22:07:42,66.3167,-179.1667,-18.44,92,75,6.8,broken clouds
76,Naranjal,EC,2022-02-13 22:07:42,-2.6667,-79.6167,82.53,86,100,2.15,moderate rain
