City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Ribeira Grande,PT,2022-02-09 21:11:50,38.5167,-28.7,59.4,72,20,12.66
67,Wewak,PG,2022-02-09 21:11:50,-3.5534,143.6268,78.69,85,64,1.72
68,Aswan,EG,2022-02-09 21:11:51,24.0934,32.907,60.01,35,0,15.3
69,Codrington,AU,2022-02-09 21:11:42,-38.2667,141.9667,60.82,74,73,7.4
70,Karratha,AU,2022-02-09 21:11:52,-20.7377,116.8463,83.88,70,49,1.79
71,Caravelas,BR,2022-02-09 21:11:53,-17.7125,-39.2481,79.25,80,5,8.52
72,Vaini,TO,2022-02-09 21:11:53,-21.2,-175.2,80.71,81,80,15.14
73,Esperance,AU,2022-02-09 21:11:53,-33.8667,121.9,60.64,88,21,8.5
74,Belogorsk,RU,2022-02-09 21:11:54,50.9158,128.4611,2.57,97,100,6.73
75,Pisco,PE,2022-02-09 21:11:54,-13.7,-76.2167,75.02,83,20,8.05
76,Cape Town,ZA,2022-02-09 21:05:44,-33.9258,18.4232,69.89,80,45,3.2
77,Port Hedland,AU,2022-02-09 21:10:51,-20.3167,118.5667,78.85,94,17,6.91
78,Porbandar,IN,2022-02-09 21:11:55,21.6422,69.6093,68.68,61,0,10.07
79,Tiznit,MA,2022-02-09 21:11:55,29.5833,-9.5,62.74,27,8,5.68
80,Katsuura,JP,2022-02-09 21:07:07,35.1333,140.3,41.14,70,100,16.84
81,Cairns,AU,2022-02-09 21:09:38,-16.9167,145.7667,76.06,91,17,2.3
82,San Jose,US,2022-02-09 21:10:00,37.3394,-121.895,76.71,31,75,6.91
83,Kikwit,CD,2022-02-09 21:11:56,-5.041,18.8162,75.02,71,55,2.15
84,Ulladulla,AU,2022-02-09 21:11:56,-35.35,150.4667,72.88,54,4,3.67
85,Srednekolymsk,RU,2022-02-09 21:11:56,67.45,153.6833,-43.28,99,93,6.55
86,Itarema,BR,2022-02-09 21:11:57,-2.9248,-39.9167,80.8,73,26,11.59
87,Asau,RO,2022-02-09 21:11:57,46.4333,26.4,38.32,89,18,6.76
88,Bambanglipuro,ID,2022-02-09 21:11:58,-7.95,110.2833,75.27,94,100,21.14
89,Busselton,AU,2022-02-09 21:01:23,-33.65,115.3333,58.08,73,7,10.58
90,Hualmay,PE,2022-02-09 21:12:58,-11.0964,-77.6139,73.87,70,75,8.61
91,Hithadhoo,MV,2022-02-09 21:05:36,-0.6,73.0833,82.13,73,46,12.03
92,Kettering,US,2022-02-09 21:12:17,39.6895,-84.1688,50.36,53,0,11.5
93,Bafq,IR,2022-02-09 21:12:59,31.6128,55.4107,54.45,16,0,4.99
94,Atuona,PF,2022-02-09 21:12:59,-9.8,-139.0333,78.51,77,23,17.02
95,Vasilsursk,RU,2022-02-09 21:13:00,56.1275,46.0072,24.1,98,100,0.81
96,Katangli,RU,2022-02-09 21:13:00,51.7102,143.2326,12.54,94,100,9.66
97,Suruc,TR,2022-02-09 21:09:11,36.9761,38.425,52.0,76,90,13.98
98,Fuling,CN,2022-02-09 21:13:01,29.7022,107.3919,43.34,85,96,1.28
99,Lugovoy,KZ,2022-02-09 21:13:01,42.9472,72.7644,22.82,73,12,6.67
100,Westport,US,2022-02-09 21:05:28,41.1415,-73.3579,47.05,63,0,6.91
101,Winnemucca,US,2022-02-09 21:13:02,40.973,-117.7357,55.45,30,0,4.61
102,Akyab,MM,2022-02-09 21:13:02,20.15,92.9,63.68,48,0,8.21
103,Vao,NC,2022-02-09 21:13:03,-22.6667,167.4833,81.03,86,100,28.48
104,Isangel,VU,2022-02-09 21:13:03,-19.55,169.2667,78.55,97,100,34.11
105,Mahebourg,MU,2022-02-09 21:13:03,-20.4081,57.7,74.25,75,61,7.49
106,Port Blair,IN,2022-02-09 21:13:04,11.6667,92.75,76.82,78,38,9.69
107,Chuy,UY,2022-02-09 21:12:28,-33.6971,-53.4616,72.3,60,46,11.03
108,Saskylakh,RU,2022-02-09 21:13:04,71.9167,114.0833,-9.11,97,52,7.56
109,Camacha,PT,2022-02-09 21:13:05,33.0833,-16.3333,65.16,82,0,6.91
110,Hilo,US,2022-02-09 21:01:45,19.7297,-155.09,76.8,71,100,4.61
111,Husavik,IS,2022-02-09 21:13:05,66.0449,-17.3389,21.94,65,100,18.28
112,Khandyga,RU,2022-02-09 21:13:06,62.6667,135.6,-39.41,100,72,0.92
113,Faanui,PF,2022-02-09 21:13:06,-16.4833,-151.75,80.58,78,30,15.23
114,Airai,TL,2022-02-09 21:06:56,-8.9266,125.4092,61.02,93,100,0.76
115,Ilulissat,GL,2022-02-09 21:13:06,69.2167,-51.1,17.62,53,100,14.97
116,Yulara,AU,2022-02-09 21:09:43,-25.2406,130.9889,75.04,50,0,9.22
117,Durban,ZA,2022-02-09 21:13:07,-29.8579,31.0292,77.02,85,75,1.01
118,Vrangel,RU,2022-02-09 21:10:46,42.7297,133.0839,27.32,85,52,3.87
119,Thompson,CA,2022-02-09 21:11:34,55.7435,-97.8558,0.37,79,32,3.76
120,Belaya Gora,RU,2022-02-09 21:07:03,68.5333,146.4167,-44.07,99,67,5.97
121,Palu,ID,2022-02-09 21:13:08,-0.8917,119.8707,75.22,95,100,1.45
122,Mount Gambier,AU,2022-02-09 21:07:06,-37.8333,140.7667,58.15,79,77,4.59
123,Mabaruma,GY,2022-02-09 21:13:09,8.2,-59.7833,79.45,69,61,5.66
124,Xapuri,BR,2022-02-09 21:13:09,-10.6517,-68.5044,86.0,63,89,0.6
125,Banff,CA,2022-02-09 21:13:10,51.1762,-115.5698,34.57,88,99,7.81
126,Sao Filipe,CV,2022-02-09 21:13:10,14.8961,-24.4956,76.68,60,66,3.94
127,Mataura,NZ,2022-02-09 21:13:10,-46.1927,168.8643,59.49,99,100,0.76
128,Lufilufi,WS,2022-02-09 21:13:11,-13.8745,-171.5986,81.79,79,100,14.34
129,Touros,BR,2022-02-09 21:09:34,-5.1989,-35.4608,83.3,66,86,14.79
130,Iskateley,RU,2022-02-09 21:13:11,67.6803,53.1512,13.42,84,38,21.56
131,Chokurdakh,RU,2022-02-09 21:06:59,70.6333,147.9167,-32.06,99,90,10.25
132,Loukhi,RU,2022-02-09 21:14:12,66.0764,33.0381,23.05,93,88,8.32
133,New Norfolk,AU,2022-02-09 21:14:12,-42.7826,147.0587,62.74,65,76,3.0
134,Bethel,US,2022-02-09 21:03:30,41.3712,-73.414,46.51,53,0,10.36
135,Ambasamudram,IN,2022-02-09 21:14:13,8.7,77.4667,81.75,80,64,1.83
136,Talnakh,RU,2022-02-09 21:13:22,69.4865,88.3972,-3.8,99,100,11.01
137,Inongo,CD,2022-02-09 21:14:05,-1.95,18.2667,78.89,55,84,2.33
138,Hermanus,ZA,2022-02-09 21:05:48,-34.4187,19.2345,68.9,90,54,6.96
139,Mandalgovi,MN,2022-02-09 21:14:13,45.7625,106.2708,0.81,91,73,8.59
140,Boende,CD,2022-02-09 21:14:14,-0.2167,20.8667,82.18,37,100,2.17
141,Faya,SA,2022-02-09 21:14:14,18.3851,42.4509,55.92,78,3,5.21
142,Narsaq,GL,2022-02-09 21:14:15,60.9167,-46.05,16.02,74,90,9.28
143,Pangnirtung,CA,2022-02-09 21:14:15,66.1451,-65.7125,-16.26,99,100,4.16
144,Starkville,US,2022-02-09 21:14:16,33.4504,-88.8184,65.95,41,0,10.58
145,Koumac,NC,2022-02-09 21:14:16,-20.5667,164.2833,80.33,89,100,21.79
146,Key Largo,US,2022-02-09 21:11:06,25.0865,-80.4473,64.4,77,100,14.67
147,Kruisfontein,ZA,2022-02-09 21:14:17,-34.0033,24.7314,61.97,83,0,4.79
148,Awbari,LY,2022-02-09 21:14:18,26.5921,12.7805,50.54,46,3,9.19
149,Tessalit,ML,2022-02-09 21:13:21,20.1986,1.0114,69.53,8,0,8.32
150,San Cristobal,VE,2022-02-09 21:14:18,7.7669,-72.225,78.98,52,77,4.25
151,Klaksvik,FO,2022-02-09 21:14:19,62.2266,-6.589,31.12,83,100,20.67
152,Tiksi,RU,2022-02-09 21:14:19,71.6872,128.8694,-12.06,93,100,13.02
153,Namatanai,PG,2022-02-09 21:07:00,-3.6667,152.4333,80.22,79,49,2.51
154,Mount Isa,AU,2022-02-09 21:14:19,-20.7333,139.5,73.17,100,22,0.0
155,Zhigansk,RU,2022-02-09 21:14:20,66.7697,123.3711,-33.07,97,97,7.38
156,Berlevag,NO,2022-02-09 21:14:20,70.8578,29.0864,23.0,80,0,27.63
157,Tasiilaq,GL,2022-02-09 21:05:47,65.6145,-37.6368,8.76,59,74,11.32
158,Falun,SE,2022-02-09 21:14:21,60.6036,15.626,36.01,63,2,13.35
159,Rapid Valley,US,2022-02-09 21:14:21,44.0625,-103.1463,42.4,87,100,18.41
160,Rio Grande,BR,2022-02-09 21:14:21,-32.035,-52.0986,77.11,57,41,12.03
161,Nanortalik,GL,2022-02-09 21:05:47,60.1432,-45.2371,20.28,68,93,3.18
162,Teya,RU,2022-02-09 21:14:22,60.3778,92.6267,-10.01,99,99,1.52
163,Saint Anthony,US,2022-02-09 21:14:22,45.0205,-93.218,32.67,69,100,23.02
164,Cowra,AU,2022-02-09 21:14:22,-33.8333,148.6833,74.73,41,0,2.68
165,Akdepe,TM,2022-02-09 21:14:23,42.0551,59.3788,30.2,74,6,11.16
166,Baculin,PH,2022-02-09 21:14:23,7.4525,126.5842,76.84,89,100,8.21
167,Meulaboh,ID,2022-02-09 21:14:23,4.1363,96.1285,73.4,86,100,6.53
168,Grindavik,IS,2022-02-09 21:14:24,63.8424,-22.4338,25.27,74,75,13.8
169,Grand Gaube,MU,2022-02-09 21:14:24,-20.0064,57.6608,74.37,78,8,4.0
170,Te Anau,NZ,2022-02-09 21:14:25,-45.4167,167.7167,65.41,84,34,4.36
171,Panorama,GR,2022-02-09 21:14:25,40.5878,23.0315,45.95,62,20,9.22
172,Mawlaik,MM,2022-02-09 21:14:25,23.6333,94.4167,52.5,60,1,1.21
173,Glendive,US,2022-02-09 21:14:26,47.1053,-104.7125,38.82,84,100,5.75
174,Butaritari,KI,2022-02-09 21:14:26,3.0707,172.7902,81.81,78,66,14.79
175,Coihaique,CL,2022-02-09 21:14:27,-45.5752,-72.0662,66.15,27,20,6.91
176,Arraial Do Cabo,BR,2022-02-09 21:13:46,-22.9661,-42.0278,73.26,83,75,4.61
