City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
236,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
244,Valvedditturai,LK,77.52,scattered clouds,9.8167,80.1667,Kanahathy Vadali
247,Sabang,ID,81.32,scattered clouds,5.8933,95.3214,Hotel Citra
256,Ranong,TH,76.89,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
257,Phuket,TH,79.02,broken clouds,8.0,98.25,The Surin
259,Nioro,GM,80.02,scattered clouds,13.35,-15.75,
260,Tubmanburg,LR,75.11,few clouds,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
263,Nzerekore,GN,76.21,scattered clouds,7.7562,-8.8179,Hotel de la Gare & Germanho Club
268,Port-Gentil,GA,80.85,overcast clouds,-0.7193,8.7815,Fengshui Residence
269,Mahebourg,MU,81.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
270,Ugoofaaru,MV,80.46,overcast clouds,5.6667,73.0,Ungoofaaru Inn
276,Buchanan,LR,78.76,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
277,Pangoa,PE,75.45,overcast clouds,-12.1167,-73.0,
279,Alyangula,AU,82.92,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
282,Uarini,BR,84.15,overcast clouds,-2.99,-65.1083,
283,Iralaya,HN,78.89,clear sky,15.0,-83.2333,Iglesia morava renovada
293,Aitape,PG,78.51,overcast clouds,-3.1374,142.3475,
294,Ancud,CL,77.23,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
299,Hambantota,LK,75.74,overcast clouds,6.1241,81.1185,Bungalow 63
303,Vao,NC,79.74,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
304,Jizan,SA,77.5,broken clouds,17.3333,42.6667,شهدان. ابوالحجر
305,Maragogi,BR,80.92,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
320,Lompoc,US,84.34,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
323,Traralgon,AU,81.91,clear sky,-38.1833,146.5333,Comfort Inn Traralgon
326,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
328,Mana,GF,76.64,scattered clouds,5.6592,-53.7767,LE SAMANA
335,The Valley,AI,77.14,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
336,Kota Belud,MY,75.06,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
340,Nieuw Amsterdam,SR,80.62,few clouds,5.8833,-55.0833,Hotel Stardust
343,Moerai,PF,78.31,overcast clouds,-22.4333,-151.3333,Le Manotel
344,San Fernando,PH,78.15,broken clouds,15.0286,120.6898,Maharlika Hostel
347,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
348,Tucuman,AR,78.8,few clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
352,Micheweni,TZ,78.73,broken clouds,-4.9667,39.8333,
365,Grand Gaube,MU,81.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
366,Jacqueville,CI,78.71,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
367,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
371,Vallenar,CL,79.3,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
372,Sambava,MG,75.11,light rain,-14.2667,50.1667,Melrose
373,Auki,SB,77.25,light rain,-8.7676,160.7034,Auki Motel
374,Mahina,PF,87.57,broken clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
378,Gamba,GA,77.25,light rain,-2.65,10.0,
380,Victor Harbor,AU,76.71,scattered clouds,-35.5667,138.6167,McCracken Country Club
389,Port Augusta,AU,84.7,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
390,Bataipora,BR,79.43,overcast clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
394,Balabac,PH,80.17,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
404,Kavaratti,IN,80.2,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
406,Salvador,SV,89.64,scattered clouds,13.8333,-88.9167,Chico's Ranch
409,Iracoubo,GF,76.46,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
414,Tulum,MX,80.65,broken clouds,20.2167,-87.4667,Kin Ha Tulum
416,Danane,CI,77.72,broken clouds,7.2596,-8.155,Lmd
419,Mount Isa,AU,78.57,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
422,Manokwari,ID,77.9,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
424,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
429,Nacala,MZ,76.05,few clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
432,Youkounkoun,GN,78.87,few clouds,12.5333,-13.1333,
436,Port Pirie,AU,80.53,clear sky,-33.1833,138.0167,John Pirie Motor Inn
440,Sao Joao Da Barra,BR,76.41,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
443,Gigmoto,PH,76.26,broken clouds,13.7796,124.39,Cj's Travellers Inn
444,Doos,PH,76.05,overcast clouds,10.4653,124.7294,JYN'S HOTEL AND RESIDENCES
458,Pedernales,DO,81.05,few clouds,18.0384,-71.744,Hotel Costa Marina
460,Lorengau,PG,81.57,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
479,Ko Samui,TH,81.19,overcast clouds,9.5357,99.9357,The Passage
